case_id,question,response_index,response,correct,error_type,clustering_threshold,cluster_ids,n_nodes,n_clusters,n_edges,edge_density,mean_edge_weight,total_edge_weight,cluster_imbalance,largest_cluster,smallest_cluster,incorrect_responses,incorrect_fraction,confident_failure,structural_entropy,cluster_sizes,cluster_incorrect_counts,cluster_incorrect_fraction
factual_001,Who discovered penicillin?,0,Alexander Fleming discovered penicillin.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_001,Who discovered penicillin?,1,Penicillin was discovered by Alexander Fleming.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_001,Who discovered penicillin?,2,Alexander Fleming is credited with discovering penicillin.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_001,Who discovered penicillin?,3,Marie Curie discovered penicillin.,0,factual,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_001,Who discovered penicillin?,4,Louis Pasteur discovered penicillin.,0,factual,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_001,Who discovered penicillin?,5,Alexander Fleming discovered the antibiotic penicillin.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.6971766628339537,5.57741330267163,4.0,4,1,2,0.3333333333333333,True,-1.3863953613518194,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_002,What is the capital of France?,0,The capital of France is Paris.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.7485320249179495,5.988256199343596,4.0,4,1,2,0.3333333333333333,True,-1.3881286675496294,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_002,What is the capital of France?,1,Paris is the capital city of France.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.7485320249179495,5.988256199343596,4.0,4,1,2,0.3333333333333333,True,-1.3881286675496294,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_002,What is the capital of France?,2,France has Paris as its capital.,1,correct,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.7485320249179495,5.988256199343596,4.0,4,1,2,0.3333333333333333,True,-1.3881286675496294,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
factual_002,What is the capital of France?,3,The capital of France is Lyon.,0,factual,0.3,"0,0,0,1,2,0",6,3,8,0.5333333333333333,0.7485320249179495,5.988256199343596,4.0,4,1,2,0.3333333333333333,True,-1.3881286675496294,"4,1,1","0,1,1","0.000000,1.000000,1.000000"
